 7.000E-01  2.000E-02  X, Z
    17                 No. of Elements
     1   9.071E-01     Atomic No., Normalised Abundance
     2   9.138E-02
     6   3.776E-04
     7   9.932E-05
     8   7.890E-04
    10   1.251E-04
    11   2.272E-06
    12   4.046E-05
    13   3.147E-06
    14   3.776E-05
    16   1.727E-05
    18   3.531E-06
    20   2.441E-06
    24   4.974E-07
    25   2.610E-07
    26   3.445E-05
    28   1.888E-06
    t=log(T)    log(R)    r=log(rho)  G=log(ross)    dG/dt       dG/dr
   7.300E+00  -2.000E+00   1.900E+00  -9.845E-02  -1.365E+00   2.266E-01
   7.300E+00  -1.500E+00   2.400E+00   2.836E-02  -1.761E+00   2.998E-01
   7.300E+00  -1.000E+00   2.900E+00   2.105E-01  -2.311E+00   4.280E-01
   7.300E+00  -5.000E-01   3.400E+00   4.583E-01  -2.769E+00   5.681E-01
   7.500E+00  -7.500E+00  -3.000E+00  -4.915E-01  -4.856E-02   7.063E-05
   7.500E+00  -7.000E+00  -2.500E+00  -4.915E-01  -4.855E-02   7.068E-05
   7.500E+00  -6.500E+00  -2.000E+00  -4.914E-01  -4.916E-02   1.997E-04
   7.500E+00  -6.000E+00  -1.500E+00  -4.912E-01  -5.076E-02   5.643E-04
   7.500E+00  -5.500E+00  -1.000E+00  -4.907E-01  -5.580E-02   1.720E-03
   7.500E+00  -5.000E+00  -5.000E-01  -4.892E-01  -7.086E-02   4.925E-03
   7.500E+00  -4.500E+00   0.000E+00  -4.848E-01  -1.135E-01   1.387E-02
   7.500E+00  -4.000E+00   5.000E-01  -4.733E-01  -2.198E-01   3.511E-02
   7.500E+00  -3.500E+00   1.000E+00  -4.465E-01  -4.423E-01   7.583E-02
   7.500E+00  -3.000E+00   1.500E+00  -3.963E-01  -7.449E-01   1.231E-01
   7.500E+00  -2.500E+00   2.000E+00  -3.262E-01  -1.029E+00   1.537E-01
   7.500E+00  -2.000E+00   2.500E+00  -2.435E-01  -1.203E+00   1.789E-01
   7.500E+00  -1.500E+00   3.000E+00  -1.393E-01  -1.534E+00   2.519E-01
   7.500E+00  -1.000E+00   3.500E+00   2.169E-02  -2.015E+00   4.050E-01
   7.500E+00  -5.000E-01   4.000E+00   2.787E-01  -2.574E+00   6.360E-01
   7.700E+00  -7.500E+00  -2.400E+00  -5.035E-01  -7.254E-02   3.763E-05
   7.700E+00  -7.000E+00  -1.900E+00  -5.035E-01  -7.263E-02   4.809E-05
   7.700E+00  -6.500E+00  -1.400E+00  -5.034E-01  -7.291E-02   1.155E-04
   7.700E+00  -6.000E+00  -9.000E-01  -5.033E-01  -7.380E-02   3.254E-04
   7.700E+00  -5.500E+00  -4.000E-01  -5.030E-01  -7.629E-02   9.289E-04
   7.700E+00  -5.000E+00   1.000E-01  -5.022E-01  -8.386E-02   2.716E-03
   7.700E+00  -4.500E+00   6.000E-01  -4.999E-01  -1.036E-01   7.077E-03
   7.700E+00  -4.000E+00   1.100E+00  -4.940E-01  -1.542E-01   1.801E-02
   7.700E+00  -3.500E+00   1.600E+00  -4.805E-01  -2.555E-01   3.699E-02
   7.700E+00  -3.000E+00   2.100E+00  -4.550E-01  -4.308E-01   6.810E-02
   7.700E+00  -2.500E+00   2.600E+00  -4.138E-01  -6.239E-01   9.110E-02
   7.700E+00  -2.000E+00   3.100E+00  -3.590E-01  -9.196E-01   1.435E-01
   7.700E+00  -1.500E+00   3.600E+00  -2.729E-01  -1.194E+00   1.800E-01
   7.700E+00  -1.000E+00   4.100E+00  -1.568E-01  -2.035E+00   3.496E-01
   7.700E+00  -5.000E-01   4.600E+00   1.296E-01  -2.342E+00   8.369E-01
   7.900E+00  -7.500E+00  -1.800E+00  -5.215E-01  -1.116E-01   6.795E-06
   7.900E+00  -7.000E+00  -1.300E+00  -5.215E-01  -1.118E-01   3.341E-05
   7.900E+00  -6.500E+00  -8.000E-01  -5.215E-01  -1.120E-01   7.415E-05
   7.900E+00  -6.000E+00  -3.000E-01  -5.214E-01  -1.125E-01   2.003E-04
   7.900E+00  -5.500E+00   2.000E-01  -5.213E-01  -1.141E-01   5.525E-04
   7.900E+00  -5.000E+00   7.000E-01  -5.208E-01  -1.184E-01   1.537E-03
   7.900E+00  -4.500E+00   1.200E+00  -5.195E-01  -1.298E-01   4.067E-03
   7.900E+00  -4.000E+00   1.700E+00  -5.162E-01  -1.563E-01   9.358E-03
   7.900E+00  -3.500E+00   2.200E+00  -5.093E-01  -2.111E-01   1.926E-02
   7.900E+00  -3.000E+00   2.700E+00  -4.967E-01  -3.063E-01   3.096E-02
   7.900E+00  -2.500E+00   3.200E+00  -4.785E-01  -4.460E-01   4.165E-02
   7.900E+00  -2.000E+00   3.700E+00  -4.552E-01  -6.880E-01   5.139E-02
   7.900E+00  -1.500E+00   4.200E+00  -4.142E-01  -1.028E+00   1.386E-01
   7.900E+00  -1.000E+00   4.700E+00  -2.847E-01  -2.765E+00   4.171E-01
   7.900E+00  -5.000E-01   5.200E+00   3.890E-02  -2.381E+00   9.118E-01
