m,r,rho,T,P,l,epsilon,kappa,grad_ad,grad_rad,grad_act,nature
1.989e+23,8298998.706650476,83.07473476313415,13466479.094320763,1.4960166811590963e+17,2.779558837133613e+24,13.97464059782448,1.5117495312134108,0.4,0.378896452791383,0.378896452791383,RAD
1.9890000000000035e+23,8298998.706650481,83.07473476313415,13466479.094320763,1.4960166811590963e+17,2.779558837133618e+24,13.97464059782448,1.5117495312134108,0.4,0.378896452791383,0.378896452791383,RAD
1.989000000000037e+23,8298998.706650527,83.07473476313415,13466479.094320763,1.4960166811590963e+17,2.7795588371336646e+24,13.97464059782448,1.5117495312134108,0.4,0.378896452791383,0.378896452791383,RAD
1.9890000000003726e+23,8298998.706650994,83.07473476313415,13466479.094320763,1.4960166811590963e+17,2.779558837134133e+24,13.97464059782448,1.5117495312134108,0.4,0.37889645279138295,0.37889645279138295,RAD
1.989000000003728e+23,8298998.706655661,83.07473476313415,13466479.094320763,1.4960166811590963e+17,2.7795588371388223e+24,13.97464059782448,1.5117495312134108,0.4,0.3788964527913829,0.3788964527913829,RAD
1.9890000000372824e+23,8298998.706702328,83.07473476313415,13466479.094320763,1.4960166811590963e+17,2.7795588371857137e+24,13.97464059782448,1.5117495312134108,0.4,0.378896452791383,0.378896452791383,RAD
1.9890000003728268e+23,8298998.707169008,83.07473476313415,13466479.094320763,1.4960166811590963e+17,2.779558837654625e+24,13.97464059782448,1.5117495312134108,0.4,0.37889645279138284,0.37889645279138284,RAD
1.98900000372827e+23,8298998.711835814,83.07473476313413,13466479.094320761,1.4960166811590957e+17,2.779558842343736e+24,13.97464059782445,1.5117495312134108,0.4,0.37889645279138223,0.37889645279138223,RAD
1.989000037282702e+23,8298998.758503865,83.07473476313386,13466479.094320735,1.4960166811590883e+17,2.779558889234849e+24,13.974640597824289,1.511749531213415,0.4,0.3788964527913779,0.3788964527913779,RAD
1.989000372827022e+23,8298999.22518435,83.07473476313127,13466479.09432048,1.4960166811590134e+17,2.779559358145976e+24,13.974640597822697,1.5117495312134595,0.4,0.3788964527913338,0.3788964527913338,RAD
1.989003728270222e+23,8299003.891986314,83.07473476310552,13466479.094317932,1.4960166811582662e+17,2.779564047257253e+24,13.974640597806742,1.5117495312138556,0.4,0.3788964527908818,0.3788964527908818,RAD
1.989037282702222e+23,8299050.55971728,83.0747347628479,13466479.094292445,1.4960166811507936e+17,2.779610938370019e+24,13.974640597647154,1.511749531217852,0.4,0.3788964527863691,0.3788964527863691,RAD
1.989372827022222e+23,8299517.208162966,83.07473476027182,13466479.094037585,1.496016681076069e+17,2.7800798494976506e+24,13.974640596051401,1.5117495312577804,0.4,0.3788964527412422,0.3788964527412422,RAD
